,Title,Price,Image_reference
0,"Laptop Hp 245 G9 Amd Ryzen 3 3250u Hasta 3,5 Ghz, Memoria Ram De 16 Gb Ddr4, Ssd 256 Gb, Windows 11 Home 64-bit, Teclado En Español, 14 Pulgadas, Negro.","$9,999",https://http2.mlstatic.com/D_NQ_NP_661047-MLU73159073286_122023-V.webp
1,Laptop Hp 14-dq0518la Celeron N4120 Ram 4gb Ssd 128gb W11h Color Plateado,"$6,999",https://http2.mlstatic.com/D_NQ_NP_926238-MLU72542014390_112023-V.webp
2,Notebook 245 G9 14in negro 16GB de Ram - 512GB SSD - AMD Ryzen 3,"$9,999",https://http2.mlstatic.com/D_NQ_NP_676170-MLA74065928204_012024-V.webp
3,Laptop Huawei Matebook D16 I5 12a 8gb 512gb Ssd Windows 11,"$16,999",https://http2.mlstatic.com/D_NQ_NP_967279-MLU74294473211_012024-V.webp
4,"Apple MacBook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial - Distribuidor Autorizado","$25,999",https://http2.mlstatic.com/D_NQ_NP_801112-MLA46516512347_062021-V.webp
5,Laptop Hp 240 G9 Intel Core I3 1215u 512gb Ssd 16gb Ram 1366x768px Windows 11 Home + Antivirus Norton 360,"$10,499",https://http2.mlstatic.com/D_NQ_NP_928555-MLU77949313597_072024-V.webp
6,Laptop Lenovo Ideapad Touch 15.6 Ryzen 3 7320u 8gb 256gb ssd,"$10,999",https://http2.mlstatic.com/D_NQ_NP_761789-MLU77976627035_072024-V.webp
7,Laptop Lenovocore I5 1335 8gb Y 512gb Win 11 Touch 15.6 Color Azul marino,"$8,710",https://http2.mlstatic.com/D_NQ_NP_934120-MLU74112410676_012024-V.webp
8,Laptop Intel Celeron 14.1' Uhd Graphics 600 Space Gray,"$3,084",https://http2.mlstatic.com/D_NQ_NP_991774-CBT76891805302_062024-V.webp
9,Laptop Blackview Acebook 8 Intel N97 16gb + 512gb Ssd Win 11,"$5,790",https://http2.mlstatic.com/D_NQ_NP_781234-MLM78196499594_082024-V.webp
10,Laptop Intel Celeron 2 en 1 Notebook DDR4 16 GB RAM 512 GB SSD 15.6' Plateado 1920 px x 1080 px Windows 11,"$8,952",https://http2.mlstatic.com/D_NQ_NP_869818-MLU77724314601_072024-V.webp
11,"Portátil Ultrabook L16AIR 16"" plateado 16GB de Ram 512GB SSD AMD Ryzen 7","$23,260",https://http2.mlstatic.com/D_NQ_NP_911657-MLU73129566542_122023-V.webp
12,Laptop Lenovo Ideapad 3 Intel Ci3 8gb 256ssd Windows 11 Color Frost blue,"$13,999",https://http2.mlstatic.com/D_NQ_NP_630871-MLU74338660767_022024-V.webp
13,Laptop Hp 14-dq5024la Intel Core I3 8gb Ram 512 Gb Ssd,"$10,299",https://http2.mlstatic.com/D_NQ_NP_916675-MLU75177911966_032024-V.webp
14,Laptop Lenovo Ideapad Slim 3 15.6'' Ci5 8gb + 512gb Ssd,"$14,999",https://http2.mlstatic.com/D_NQ_NP_621621-MLU73824611655_012024-V.webp
15,"Laptop Chuwi HeroBook Pro space gray 14.1"" Intel Celeron N4020 8GB de RAM 256GB SSD Intel UHD Graphics 600 1920x1080px Windows 11 Home","$8,904",https://http2.mlstatic.com/D_NQ_NP_658345-MLU77284065294_072024-V.webp
16,"Apple MacBook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial","$12,699",https://http2.mlstatic.com/D_NQ_NP_801112-MLA46516512347_062021-V.webp
